"category_id","agg1","agg2"
"269957","Ferramentas","Ferramentas para Jardim"
"430909","Esportes e Fitness","Canoas, Caiaques e Infláveis"
"263729","Ferramentas","Acessórios para Ferramentas"
"457565","Pet Shop","Gatos"
"67836","Esportes e Fitness","Wakeboard e Esquí Acuático"
"429046","Acessórios para Veículos","Segurança Veicular"
"431253","Alimentos e Bebidas","Comida Preparada"
"8061","Instrumentos Musicais","Pianos e Teclados"
"439293","Esportes e Fitness","Futebol"
"1903","Mais Categorias","Esoterismo e Ocultismo"
"431251","Alimentos e Bebidas","Comida Preparada"
"278217","Pet Shop","Peixes"
"418276","Joias e Relógios","Porta Joias"
"276632","Agro","Maquinaria Agrícola"
"434854","Pet Shop","Anfíbios e Répteis"
"439261","Acessórios para Veículos","Performance"
"278248","Pet Shop","Anfíbios e Répteis"
"7218","Brinquedos e Hobbies","Hobbies"
"278114","Calçados, Roupas e Bolsas","Moda Íntima e Lingerie"
"439118","Indústria e Comércio","Equipamento para Escritórios"
"454716","Agro","Maquinaria Agrícola"
"455893","Calçados, Roupas e Bolsas","Calçados"
"271568","Ferramentas","Acessórios para Ferramentas"
"430502","Agro","Maquinaria Agrícola"
"211115","Esportes e Fitness","Paintball"
"271746","Esportes e Fitness","Beisebol e Softbol"
"431852","Esportes e Fitness","Esqui e Snowboard"
"454733","Brinquedos e Hobbies","Jogos de Tabuleiro e Cartas"
"439271","Indústria e Comércio","Têxtil e Calçado"
"437647","Brinquedos e Hobbies","Jogos de Tabuleiro e Cartas"
"416712","Acessórios para Veículos","Ferramentas para Veículos"
"29883","Beleza e Cuidado Pessoal","Maquiagem"
"454725","Esportes e Fitness","Surf e Bodyboard"
"457791","Festas e Lembrancinhas","Equipamento para Festas"
"457382","Calçados, Roupas e Bolsas","Acessórios de Moda"
"457546","Pet Shop","Gatos"
"457250","Agro","Maquinaria Agrícola"
"270341","Esportes e Fitness","Rugby"
"9586","Informática","Projetores e Telas"
"278061","Instrumentos Musicais","Instrumentos de Corda"
"40563","Bebês","Cercadinho"
"272121","Beleza e Cuidado Pessoal","Cuidados com a Pele"
"380658","Eletrônicos, Áudio e Vídeo","Componentes Eletrônicos"
"269656","Bebês","Alimentação e Amamentação"
"430417","Câmeras e Acessórios","Drones e Acessórios"
"438441","Acessórios para Veículos","Tuning"
"457883","Brinquedos e Hobbies","Jogos de Tabuleiro e Cartas"
"11898","Informática","Palms e Handhelds"
"425047","Beleza e Cuidado Pessoal","Tratamentos de Beleza"
"2968","Brinquedos e Hobbies","Bonecos e Bonecas"
"457913","Acessórios para Veículos","Lubrificantes e Fluidos"
"271444","Esportes e Fitness","Artes Marciais e Boxe"
"455356","Agro","Energia Renovável"
"458903","Pet Shop","Gatos"
"190440","Calçados, Roupas e Bolsas","Acessórios de Moda"
"270193","Mais Categorias","Equipamento para Tatuagens"
"431728","Joias e Relógios","Artigos de Joalharia"
"6899","Brinquedos e Hobbies","Jogos de Tabuleiro e Cartas"
"418668","Brinquedos e Hobbies","Artes e Atividades"
"421370","Esportes e Fitness","Esqui e Snowboard"
"277513","Informática","Conectividade e Redes"
"457415","Festas e Lembrancinhas","Fantasias e Cosplay"
"455256","Construção","Acessórios de Construção"
"455444","Construção","Acessórios de Construção"
"123946","Esportes e Fitness","Surf e Bodyboard"
"46526","Acessórios para Veículos","Tuning"
"271114","Indústria e Comércio","Embalagem e Logística"
"1004","Eletrônicos, Áudio e Vídeo","Aparelhos DVD e Bluray"
"268430","Esportes e Fitness","Futebol Americano"
"425078","Beleza e Cuidado Pessoal","Maquiagem"
"434730","Brinquedos e Hobbies","Hobbies"
"446798","Agro","Agricultura de Precisão"
"434378","Esportes e Fitness","Canoas, Caiaques e Infláveis"
"433661","Esportes e Fitness","Patinetes e Scooters"
"439110","Indústria e Comércio","Equipamento para Escritórios"
"438405","Acessórios para Veículos","Tuning"
"457174","Agro","Produçao Animal"
"85865","Pet Shop","Roedores"
"48160","Esportes e Fitness","Rapel, Montanhismo e Escalada"
"270899","Pet Shop","Anfíbios e Répteis"
"271160","Instrumentos Musicais","Instrumentos de Corda"
"430552","Acessórios para Veículos","Limpeza Automotiva"
"440307","Acessórios para Veículos","Segurança Veicular"
"264309","Saúde","Ortopedia"
"255030","Bebês","Brinquedos para Bebês"
"32301","Pet Shop","Peixes"
"455481","Indústria e Comércio","Segurança Laboral"
"193964","Indústria e Comércio","Equipamento para Escritórios"
"271310","Bebês","Passeio do Bebê"
"431589","Beleza e Cuidado Pessoal","Maquiagem"
"218915","Construção","Loja das Tintas"
"455438","Acessórios para Veículos","Som Automotivo"
"85855","Pet Shop","Guias para Animais"
"419817","Eletrônicos, Áudio e Vídeo","Bolsas e Estojos"
"58500","Celulares e Telefones","Acessórios para Celulares"
"424838","Esportes e Fitness","Hóquei"
"436263","Casa, Móveis e Decoração","Camas, Colchões e Acessórios"
"432908","Esportes e Fitness","Hóquei"
"269719","Informática","Tablets e Acessórios"
"457520","Festas e Lembrancinhas","Equipamento para Festas"
"38270","Câmeras e Acessórios","Lentes e Filtros"
"12542","Esportes e Fitness","Futebol"
"436442","Casa, Móveis e Decoração","Organização para Casa"
"431928","Mais Categorias","Equipamento para Tatuagens"
"123928","Esportes e Fitness","Mergulho"
"10299","Informática","Leitores e Scanners"
"456369","Brinquedos e Hobbies","Álbuns e Figurinhas"
"455661","Eletrodomésticos","Fornos e Fogões"
"436262","Casa, Móveis e Decoração","Camas, Colchões e Acessórios"
"422156","Bebês","Alimentos para Bebês"
"189213","Ferramentas","Caixas e Organizadores"
"272186","Indústria e Comércio","Publicidade e Promoção"
"28130","Bebês","Roupas de Bebê"
"433560","Ferramentas","Ferramentas para Jardim"
"129667","Informática","Tablets e Acessórios"
"263799","Construção","Encanamento"
"271064","Celulares e Telefones","Acessórios para Celulares"
"420411","Eletrônicos, Áudio e Vídeo","Componentes Eletrônicos"
"454689","Casa, Móveis e Decoração","Camas, Colchões e Acessórios"
"278187","Brinquedos e Hobbies","Brinquedos de Faz de Conta"
"190437","Calçados, Roupas e Bolsas","Acessórios de Moda"
"457507","Brinquedos e Hobbies","Bonecos e Bonecas"
"118003","Esportes e Fitness","Patín e Skateboard"
"448314","Mais Categorias","Esoterismo e Ocultismo"
"430508","Saúde","Mobilidade"
"437497","Beleza e Cuidado Pessoal","Maquiagem"
"257273","Acessórios para Veículos","Tuning"
"438844","Construção","Mobiliário para Banheiros"
"277395","Eletrônicos, Áudio e Vídeo","Componentes Eletrônicos"
"393903","Indústria e Comércio","Publicidade e Promoção"
"417898","Bebês","Quarto do Bebê"
"419977","Beleza e Cuidado Pessoal","Tratamentos de Beleza"
"420272","Indústria e Comércio","Segurança Laboral"
"438539","Festas e Lembrancinhas","Decoração de Festa"
"431132","Acessórios para Veículos","Ferramentas para Veículos"
"417336","Mais Categorias","Equipamento para Tatuagens"
"270295","Acessórios para Veículos","Segurança Veicular"
"270486","Ferramentas","Acessórios para Ferramentas"
"437678","Calçados, Roupas e Bolsas","Acessórios de Moda"
"223535","Esportes e Fitness","Equitação"
"455760","Calçados, Roupas e Bolsas","Malas e Bolsas"
"439436","Acessórios para Veículos","Performance"
"420362","Bebês","Quarto do Bebê"
"277636","Alimentos e Bebidas","Frescos"
"438283","Eletrodomésticos","Lavadores"
"270113","Esportes e Fitness","Artes Marciais e Boxe"
"411819","Casa, Móveis e Decoração","Segurança para Casa"
"258452","Construção","Aberturas"
"24764","Bebês","Roupas de Bebê"
"420317","Bebês","Maternidade"
"199649","Beleza e Cuidado Pessoal","Cuidados com a Pele"
"32299","Pet Shop","Peixes"
"6711","Informática","Periféricos para PC"
"435209","Instrumentos Musicais","Equipamento para DJs"
"439287","Esportes e Fitness","Futebol"
"11400","Celulares e Telefones","VoIP"
"1839","Brinquedos e Hobbies","Bonecos e Bonecas"
"244740","Brinquedos e Hobbies","Jogos de Tabuleiro e Cartas"
"271538","Celulares e Telefones","Rádio Comunicadores"
"252547","Indústria e Comércio","Têxtil e Calçado"
"271826","Agro","Produçao Animal"
"40402","Bebês","Passeio do Bebê"
"439276","Indústria e Comércio","Uniformes e Roupa de Trabalho"
"271615","Eletrodomésticos","Lavadores"
"277693","Alimentos e Bebidas","Frescos"
"431681","Joias e Relógios","Acessórios Para Relógios"
"261054","Acessórios para Veículos","Performance"
"433619","Indústria e Comércio","Equipamento para Escritórios"
"263726","Acessórios para Veículos","Limpeza Automotiva"
"99946","Informática","Limpeza de PCs"
"433707","Calçados, Roupas e Bolsas","Indumentária Laboral e Escolar"
"85884","Pet Shop","Peixes"
"12240","Esportes e Fitness","Basquete"
"439283","Esportes e Fitness","Windsurfe"
"5106","Celulares e Telefones","Acessórios para Celulares"
"418056","Esportes e Fitness","Equitação"
"271546","Mais Categorias","Esoterismo e Ocultismo"
"431658","Beleza e Cuidado Pessoal","Farmácia"
"270362","Indústria e Comércio","Segurança Laboral"
"271284","Construção","Loja das Tintas"
"2233","Acessórios para Veículos","Pneus e Acessórios"
"277409","Informática","Conectividade e Redes"
"73869","Games","Peças para Consoles"
"277430","Games","Peças para Consoles"
"3007","Instrumentos Musicais","Pedais e Acessórios"
"418694","Pet Shop","Anfíbios e Répteis"
"271386","Esportes e Fitness","Artes Marciais e Boxe"
"457542","Pet Shop","Gatos"
"29341","Instrumentos Musicais","Instrumentos de Sopro"
"417607","Beleza e Cuidado Pessoal","Barbearia"
"417105","Beleza e Cuidado Pessoal","Artigos para Cabeleireiros"
"455090","Eletrodomésticos","Lavadores"
"2846","Eletrônicos, Áudio e Vídeo","Acessórios para Áudio e Vídeo"
"47765","Esportes e Fitness","Artes Marciais e Boxe"
"448172","Games","Acessórios para PC Gaming"
"186058","Casa, Móveis e Decoração","Têxteis de Casa e Decoração"
"118028","Joias e Relógios","Relógios"
"457116","Agro","Produçao Animal"
"457069","Agro","Animais"
"434803","Instrumentos Musicais","Instrumentos de Sopro"
"28144","Calçados, Roupas e Bolsas","Malas e Bolsas"
"457081","Agro","Energia Renovável"
"455815","Informática","Componentes para PC"
"434770","Eletrônicos, Áudio e Vídeo","Projetores e Telas"
"61928","Esportes e Fitness","Futebol"
"270495","Pet Shop","Aves e Acessórios"
"1397","Bebês","Roupas de Bebê"
"270524","Construção","Mobiliário para Cozinhas"
"76475","Eletrodomésticos","Refrigeração"
"72817","Instrumentos Musicais","Pianos e Teclados"
"435318","Construção","Encanamento"
"433422","Beleza e Cuidado Pessoal","Barbearia"
"278108","Calçados, Roupas e Bolsas","Moda Íntima e Lingerie"
"186334","Casa, Móveis e Decoração","Têxteis de Casa e Decoração"
"260318","Festas e Lembrancinhas","Decoração de Festa"
"277954","Brinquedos e Hobbies","Piscinas de Bolas e Infláveis"
"438454","Informática","Acessórios para PC Gaming"
"433027","Acessórios para Veículos","Pneus e Acessórios"
"278216","Pet Shop","Peixes"
"40577","Calçados, Roupas e Bolsas","Roupas para Bebês"
