"item_id","item","unidades_30d","vertical","agg1_ml","agg2_ml","agg3_ml","domain_id"
"2207606606","100 Saco Kraft Para Delivery G (24x15x32) - Sem Impressão","47","CONSTRUCTION & INDUSTRY","INDUSTRY","ADVERTISEMENT & GRAPHIC DESIGN","ADVERTISEMENT & GRAPHIC DESIGN","MLB-COMMERCIAL_AND_EVENT_BAGS"
"3721974185","Saco Visor Stand Up Pouch Branco 50un 9x14 + 3cm Branco Branco Fosco","47","CONSTRUCTION & INDUSTRY","INDUSTRY","ADVERTISEMENT & GRAPHIC DESIGN","ADVERTISEMENT & GRAPHIC DESIGN","MLB-COMMERCIAL_AND_EVENT_BAGS"
"2745123961","Calça Cargo Masculina Larga Skate Elástico Cintura Unissex","47","FASHION","APPAREL","CLOTHING","PANTS & OTHERS","MLB-PANTS"
"4464996505","Óleo De Motor Sintético 5w30 Maxpro Fiat K68218920la","47","VEHICLE PARTS & ACCESSORIES","OILS & FILTERS","OILS","CARS & VANS OILS","MLB-ENGINE_OILS"
"6279377434","Refil Filtro Ibbl Natural C+3 Purificador Fr600","47","FURNISHING & HOUSEWARE","HOUSEHOLD ITEMS","KITCHEN HOME","WATER DISPENSERS AND FILTERS","MLB-WATER_PURIFIER_FILTERS_REPLACEMENTS"
"5347383074","Necessaire Bolsa Organizadora Bolsa Mochila Viagem Higiene","47","FASHION","APPAREL ACCESSORIES","BAG & BACKPACK","BAGS","MLB-TOILETRY_BAGS"
"3397547417","Pinça Anatômica Dissecção 15cm Aço Inox Cirúrgico Notre","47","HEALTH","HEALTH GOODS","HEALTH PROFESSIONAL","DENTAL SPECIALIZED EQUIPMENT","MLB-DENTAL_PLIERS"
"6543431512","Celular Samsung Galaxy A17 5g Com Ia, 128gb, 4gb Ram, Câm De 50mp, Tela De 6.7 , Nfc, Ip54 - Preto","47","TECHNOLOGY","SMARTPHONES & TABLETS","SMARTPHONES","SMARTPHONES","MLB-CELLPHONES"
"5703310790","Kit Chapéu E Canudo De Formatura Adulto Infantil Lpformatura Cor Azul Tamanho 3-8 Anos","47","FASHION","APPAREL ACCESSORIES","HATS","HATS","MLB-HATS_AND_CAPS"
"1335321203","Suporte Articulado Tv Monitor Lcd Led Plasma 17 22 27 29 32 Preto","47","HOME ELECTRONICS","TELEVISIONS & STREAMING DEVICES","TELEVISIONS ACCESSORIES","TELEVISIONS ACCESSORIES","MLB-TV_AND_MONITOR_STANDS_AND_WALL_HANGERS"
"5971103798","Rexona Men Antitranspirante Aerossol V8 250ml Notas Verdes E Amadeiradas","47","CPG","CPG PERSONAL CARE","PERSONAL CARE ESSENTIALS","DEODORANTS","MLB-DEODORANTS"
"5978768410","Caixinha Som Karaokê 2 Microfones Bluetooth Infantil Adulto Cor Rosa","47","HOME ELECTRONICS","AUDIO & GENERAL ELECTRONICS","AUDIO","AUDIO DEVICES","MLB-SPEAKERS"
"3905075581","Protein Crisp Bar Trufa De Avelã 12 Und Integralmédica","47","HEALTH","SUPPLEMENTS","SPORTS SUPPLEMENTS","PROTEINS","MLB-SUPPLEMENTS"
"5785065936","Avental Profissional Unissex De Lona Impermeável Respirável","47","FURNISHING & HOUSEWARE","TEXTILES","DINING & KITCHEN TEXTILES","KITCHEN APRONS & TOWELS","MLB-KITCHEN_APRONS"
"4965521526","Painel Plafon Led Embutir Slim 15x15 12w Quadrado","47","CONSTRUCTION & INDUSTRY","LIGHTING","WALL & CEILING LIGHTS","WALL & CEILING LIGHTS","MLB-FLOOR_CEILING_AND_WALL_LIGHTS"
"3172004030","Rexona Men Antitranspirante Roll On Invisible 50ml","47","CPG","CPG PERSONAL CARE","PERSONAL CARE ESSENTIALS","DEODORANTS","MLB-DEODORANTS"
"4085086917","Desodorante Antitranspirante Secret Powder Protect Cotton 73g","47","CPG","CPG PERSONAL CARE","PERSONAL CARE ESSENTIALS","DEODORANTS","MLB-DEODORANTS"
"4444805829","Capa Capinha Anti Shock Para Samsung + Película Vidro 3d Transparente E Película 3d A26","47","TECHNOLOGY","SMARTPHONES & TABLETS","SMARTPHONES PARTS & ACCESSORIES","SMARTPHONES & TABLETS CASES & COVERS","MLB-CELLPHONE_CASES_AND_COVERS"
"4291609113","Penta Magnésio - Dimalato + Bisglicinato + Citrato + Taurato + Óxido De Magnésio - A Combinação Perfeita De 5 Magnésios Com Máxima Pureza E Biodisponibilidade - 60 Cápsulas Sem Sabor","47","HEALTH","SUPPLEMENTS","SPORTS SUPPLEMENTS","AMINOACIDS","MLB-SUPPLEMENTS"
"4480092005","Jaqueta Corta Vento Masculino Repelente A Água + Brinde","47","FASHION","APPAREL","CLOTHING","COAT AND JACKET","MLB-JACKETS_AND_COATS"
"2111413162","Nivea Men Creme De Barbear Sensitive 2 Em 1 65g, Protege A Pele, Previne Irritações, Deslizamento Suave, Extrato De Camomila, Pele Sensível","47","CPG","CPG PERSONAL CARE","CPG BODY CARE","DEPILATORY","MLB-SHAVING_CREAMS"
"6288325956","Caldo De Ossos Líquido 250 Ml Sabor Carne Para Cães Gatos","47","CPG","PET","PET HEALTH & MEDICINE","PET HEALTH & MEDICINE","MLB-CAT_AND_DOG_SUPPLEMENTS"
"2195529254","Gola Higiênica Descartável Pescoço Barbearia  500 Unidades","47","BEAUTY","BEAUTY PERSONAL CARE","PERSONAL CARE KITS","PERSONAL CARE KITS","MLB-BEARD_KITS"
"3312072551","Collant Manga Curta Ballet Infantil Colan Body Dança 24h","47","SPORTS","INDOOR SPORTS","BALLET","BALLET","MLB-DANCE_COSTUMES"
"4480670149","Bomba Elétrica Materno Alimentação Coletor Armazenamento Sutiã Display Led Extratora Elétrica Amametação Sugado Marca Kateluo","47","T & B","BABY","BREASTFEED & EATING ACCESSORIES","BREAST PUMPS & ACC","MLB-BREAST_PUMPS"
