"vertical","agg1","agg2","agg3","dominio","unidades","nmv_brl","pct_del_nmv_zona","pct_del_nmv_vertical"
"TECHNOLOGY","SMARTPHONES & TABLETS","SMARTPHONES","SMARTPHONES","CELLPHONES","6889","7676479","5,969","26,176"
"HEALTH","SUPPLEMENTS","HEALTH SUPPLEMENTS","OMEGAS/FISHOILS","SUPPLEMENTS","49737","4647704","3,614","55,857"
"TECHNOLOGY","COMPUTERS & NOTEBOOKS","NOTEBOOKS","NOTEBOOKS","NOTEBOOKS","1220","3987586","3,1","13,597"
"FASHION","FOOTWEAR","SNEAKERS","SPORTS FOOTWEAR","SNEAKERS","20446","2134130","1,659","16,846"
"BEAUTY","FRAGRANCES","FRAGRANCES","FRAGRANCES","PERFUMES","15049","2101569","1,634","21,924"
"TECHNOLOGY","WEARABLES","HEADPHONES","HEADSETS","HEADPHONES","13295","1558334","1,212","5,314"
"TECHNOLOGY","SMARTPHONES & TABLETS","TABLETS & READERS","TABLETS","TABLETS","1446","1341669","1,043","4,575"
"BEAUTY","HAIR","HAIR","HAIR CARE","HAIR_TREATMENTS","13640","1213318","0,943","12,658"
"TECHNOLOGY","WEARABLES","SMARTWATCHES","SMARTWATCHES","SMARTWATCHES","3298","997795","0,776","3,402"
"ENTERTAINMENT","BOOKS AND OTHERS","BOOKS","BOOKS","BOOKS","17561","918163","0,714","37,464"
"TECHNOLOGY","IT PERIPHERALS, PARTS & ACCESSORIES","DESKTOP PC PARTS","STORAGE DRIVES","HARD_DRIVES_AND_SSDS","1965","906373","0,705","3,091"
"CONSTRUCTION & INDUSTRY","SECURITY","CAMERAS, MONITORS & KITS","CAMERAS, MONITORS & KITS","SURVEILLANCE_CAMERAS","9002","905019","0,704","4,524"
"BEAUTY","BEAUTY PERSONAL CARE","FACIAL CARE","FACIAL CARE","FACIAL_SKIN_CARE_PRODUCTS","10155","851270","0,662","8,881"
"TECHNOLOGY","CONSOLE GAMING HARDWARE","CONSOLES","CONSOLES","GAME_CONSOLES","489","817099","0,635","2,786"
"FASHION","APPAREL","CLOTHING","PANTS & OTHERS","PANTS","32932","808443","0,629","6,381"
"FASHION","APPAREL","CLOTHING","SHIRTS","T_SHIRTS","17035","806957","0,627","6,37"
"BEAUTY","HAIR","HAIR","HAIR CARE","HAIR_SHAMPOOS_AND_CONDITIONERS","9121","770376","0,599","8,037"
"CONSTRUCTION & INDUSTRY","LIGHTING","WALL & CEILING LIGHTS","WALL & CEILING LIGHTS","FLOOR_CEILING_AND_WALL_LIGHTS","14123","764616","0,595","3,822"
"BEAUTY","BEAUTY PERSONAL CARE","BODY CARE","BODY CARE","BODY_SKIN_CARE_PRODUCTS","10578","632658","0,492","6,6"
"TECHNOLOGY","SMARTPHONES & TABLETS","SMARTPHONES PARTS & ACCESSORIES","SMARTPHONES DEVICE CHARGERS","MOBILE_DEVICE_CHARGERS","9293","630647","0,49","2,15"
"FASHION","APPAREL ACCESSORIES","WATCH","WATCH","WRISTWATCHES","5137","586976","0,456","4,633"
"FASHION","FOOTWEAR","SANDAL","SANDAL","SANDALS_AND_CLOGS","9892","580529","0,451","4,582"
"FURNISHING & HOUSEWARE","HOUSEHOLD ITEMS","KITCHEN HOME","FOOD STORAGE","FOOD_STORAGE_CONTAINERS","10169","563757","0,438","4,991"
"TECHNOLOGY","IT APPLIANCES","CONNECTIVITY & NETWORKS","ROUTERS","ROUTERS_AND_WIRELESS_SYSTEMS","1795","555506","0,432","1,894"
"TECHNOLOGY","IT PERIPHERALS, PARTS & ACCESSORIES","DESKTOP PC PARTS","RAM MEMORY","RAM_MEMORY_MODULES","1474","525117","0,408","1,791"
"ENTERTAINMENT","MUSICAL INSTRUMENTS","MICROPHONES","MICROPHONES","MICROPHONES","2397","513020","0,399","20,933"
"TECHNOLOGY","IT APPLIANCES","PRINTERS","PRINTERS","PRINTERS","1458","509489","0,396","1,737"
"CONSTRUCTION & INDUSTRY","SECURITY","DIGITAL & ELECTRONIC LOCKS","DIGITAL & ELECTRONIC LOCKS","ELECTRIC_LOCKS","2142","504276","0,392","2,521"
"CPG","DRINKS","ALCOHOLICS","WINES & SPARKLING WINES","WINES","10347","496670","0,386","4,111"
"BEAUTY","BEAUTY ELECTRONICS","BEAUTY ELECTRONICS","ELETRIC_SHAVERS","HAIR_CLIPPERS_ELECTRIC_SHAVERS_AND_HAIR_TRIMMERS","5054","468137","0,364","4,884"
"CPG","PET","PET FOOD & TREATS","CAT & DOGS FOOD AND TREATS","CAT_AND_DOG_FOODS","5426","462295","0,359","3,827"
"HOME ELECTRONICS","SMALL APPLIANCES","KITCHEN","ELECTRIC KITCHEN TOOLS","ELECTRIC_COFFEE_MAKERS","2065","441055","0,343","6,619"
"FASHION","APPAREL","BASICS","KIT UNDERWEAR&UNDERWEAR","UNDERPANTS","5134","420678","0,327","3,321"
"CONSTRUCTION & INDUSTRY","STATIONERY","OFFICE & SCHOOL SUPPLIES","PAPERS","SCHOOL_AND_OFFICE_PAPERS","6388","398688","0,31","1,993"
"FURNISHING & HOUSEWARE","HOUSEHOLD ITEMS","KITCHEN HOME","WATER DISPENSERS AND FILTERS","WATER_PURIFIER_FILTERS_REPLACEMENTS","5441","394871","0,307","3,496"
"CPG","PET","PET HEALTH & MEDICINE","PET HEALTH & MEDICINE","NON_PRESCRIPTION_PET_ANTIPARASITICS","3829","388078","0,302","3,212"
"HOME ELECTRONICS","SMALL APPLIANCES","HOUSING & CLEANING","VACUUM CLEANERS","VACUUM_AND_STEAM_CLEANERS","2618","379914","0,295","5,702"
"FASHION","APPAREL","BASICS","KIT UNDERWEAR&UNDERWEAR","SOCKS","8203","375516","0,292","2,964"
"CONSTRUCTION & INDUSTRY","CONSTRUCTION","FAUCETS","BATHROOM FAUCETS","BATHROOM_FAUCETS_AND_MIXERS","5550","365464","0,284","1,827"
"TECHNOLOGY","CAMERAS & DRONES","CAMERAS & VIDEO CAMERAS","CAMERAS & VIDEO CAMERAS","DIGITAL_CAMERAS","565","358124","0,278","1,221"
"CONSTRUCTION & INDUSTRY","STATIONERY","OFFICE & SCHOOL SUPPLIES","OTHER OFFICE & SCHOOL SUPPLIES","SELF_ADHESIVE_LABELS","5014","352565","0,274","1,762"
"CONSTRUCTION & INDUSTRY","STATIONERY","OFFICE & SCHOOL SUPPLIES","GLUES & TAPES","ADHESIVE_TAPES","7326","351500","0,273","1,757"
"CPG","PET","PET HEALTH & MEDICINE","PET HEALTH & MEDICINE","CAT_AND_DOG_SUPPLEMENTS","3966","351305","0,273","2,908"
"FURNISHING & HOUSEWARE","HOUSEHOLD ITEMS","KITCHEN HOME","COOKWARE","KITCHEN_POTS","2873","349164","0,271","3,091"
"BEAUTY","BEAUTY ELECTRONICS","BEAUTY ELECTRONICS","HAIR_DRYERS","HAIR_DRYERS","1725","349007","0,271","3,641"
"FURNISHING & HOUSEWARE","TEXTILES","BEDROOM TEXTILES","SHEETS & PILLOW COVERS","BED_SHEETS","5735","345930","0,269","3,063"
"HOME ELECTRONICS","AUDIO & GENERAL ELECTRONICS","AUDIO","AUDIO DEVICES","SPEAKERS","2398","337950","0,263","5,072"
"HOME ELECTRONICS","AUDIO & GENERAL ELECTRONICS","AUDIO ACCESSORIES","AUDIO & VIDEO CABLES & ADAPTERS","AUDIO_AND_VIDEO_CABLES_AND_ADAPTERS","8634","334100","0,26","5,014"
"TECHNOLOGY","IT PERIPHERALS, PARTS & ACCESSORIES","DESKTOP PC PARTS","GRAPHICS CARDS","GRAPHICS_CARDS","385","327641","0,255","1,117"
"TECHNOLOGY","CONSOLE GAMING HARDWARE","GAMES ACCESSORIES","GAMEPADS & JOYSTICKS","GAMEPADS_AND_JOYSTICKS","1936","318367","0,248","1,086"
"FURNISHING & HOUSEWARE","HOUSEHOLD ITEMS","TABLETOP","DRINKWARE & ICE","DRINKING_GLASSES","5739","314758","0,245","2,787"
"SPORTS","MOUNTAIN & OUTDOORS","CAMPING","GEAR & EQUIPMENT","BACKPACKS","4252","311160","0,242","8,735"
"T & B","TOYS AND GAMES","BOARD AND CARD GAMES","CARDS GAME","TRADING_CARD_GAMES","2341","308599","0,24","8,277"
"CPG","CPG HOME CARE","LAUNDRY PRODUCTS","LAUNDRY PRODUCTS","LAUNDRY_DETERGENTS","7574","308335","0,24","2,552"
"CPG","FOODS","BREAKFAST & CEREALS","COFFEE","GROUND_AND_WHOLE_BEANS_COFFEE","7669","303011","0,236","2,508"
"CONSTRUCTION & INDUSTRY","INDUSTRY","SAFETY EQUIPMENT","SAFETY EQUIPMENT","SAFETY_FOOTWEAR","3341","302993","0,236","1,515"
"FASHION","APPAREL","CLOTHING","SHIRTS","SHIRTS","7839","292620","0,228","2,31"
"CONSTRUCTION & INDUSTRY","LIGHTING","BULBS & LED STRIPS","BULBS & LED STRIPS","LIGHT_BULBS","7225","291876","0,227","1,459"
"TECHNOLOGY","SMARTPHONES & TABLETS","SMARTPHONES PARTS & ACCESSORIES","SMARTPHONES & TABLETS CASES & COVERS","CELLPHONE_CASES_AND_COVERS","9604","288452","0,224","0,984"
"FASHION","APPAREL","CLOTHING","COAT AND JACKET","JACKETS_AND_COATS","6714","285818","0,222","2,256"
"TECHNOLOGY","COMPUTERS & NOTEBOOKS","DESKTOPS","MINI PC","MINI_PCS","184","285163","0,222","0,972"
"CONSTRUCTION & INDUSTRY","INDUSTRY","ADVERTISEMENT & GRAPHIC DESIGN","ADVERTISEMENT & GRAPHIC DESIGN","COMMERCIAL_AND_EVENT_BAGS","5499","284590","0,221","1,423"
"HOME ELECTRONICS","SMALL APPLIANCES","KITCHEN","ELECTRIC KITCHEN TOOLS","BLENDERS","2206","284476","0,221","4,269"
"VEHICLE PARTS & ACCESSORIES","ACC VEHICULAR MULTIMEDIA","VEHICULAR STEREOS & SCREENS","VEHICULAR STEREOS","VEHICLE_MULTIMEDIA_SYSTEMS","2220","280187","0,218","3,348"
"CONSTRUCTION & INDUSTRY","TOOLS","POWER TOOLS","DRILLING AND SCREWDRIVING","ELECTRIC_SCREWDRIVERS_AND_IMPACT_WRENCHES","2535","280025","0,218","1,4"
"CONSTRUCTION & INDUSTRY","CONSTRUCTION","FAUCETS","SHOWER HEADS","ELECTRIC_SHOWER_HEADS","1821","279905","0,218","1,399"
"BEAUTY","BEAUTY PERSONAL CARE","SOLAR CARE","BODY SOLAR CARE","SUNSCREENS","4035","278474","0,217","2,905"
"CONSTRUCTION & INDUSTRY","CONSTRUCTION","FAUCETS","KITCHEN FAUCETS","KITCHEN_FAUCETS","3255","275583","0,214","1,378"
"FURNISHING & HOUSEWARE","HOUSEHOLD ITEMS","CLEANING & LAUNDRY","HOME CLEANING","WASTE_BASKETS","5389","275295","0,214","2,437"
"TECHNOLOGY","IT PERIPHERALS, PARTS & ACCESSORIES","PC PERIPHERALS","COMPUTER MICE","COMPUTER_MICE","3487","274412","0,213","0,936"
"TECHNOLOGY","GAMES, DIGITAL GOODS & SOFTWARE","VIDEO GAMES","DIGITAL VIDEO GAMES","VIDEO_GAMES","1403","270149","0,21","0,921"
"CPG","FOODS","CHOCOLATE & SWEETS","CHOCOLATES","CHOCOLATES","7333","269017","0,209","2,227"
"TECHNOLOGY","IT APPLIANCES","PRINTERS PARTS & ACCESSORIES","PRINTERS 3D ACCESSORIES","3D_PRINTER_FILAMENTS","2611","266604","0,207","0,909"
"HEALTH","HEALTH GOODS","HEALTH PROFESSIONAL","HEALTH PROFESSIONAL CONSUMABLES","SYRINGES","4637","265975","0,207","3,197"
"T & B","TOYS AND GAMES","ACTION FIGURES","ACTION FIGURES","ACTION_FIGURES","2394","263132","0,205","7,057"
"BEAUTY","BEAUTY PROFESSIONAL","BEAUTY SALOON","HAIR PROFESSIONAL","HAIR_AND_FACE_DYES_AND_BLEACHES","5314","261763","0,204","2,731"
"CPG","FOODS","BREAKFAST & CEREALS","COFFEE","INFUSION_CAPSULES","10133","260150","0,202","2,153"
"TECHNOLOGY","IT PERIPHERALS, PARTS & ACCESSORIES","MONITORS & ACCESSORIES","MONITORS","COMPUTER_MONITORS","857","253299","0,197","0,864"
"FASHION","FOOTWEAR","BOOTS","BOOTS","BOOTS_AND_BOOTIES","2076","253224","0,197","1,999"
"FURNISHING & HOUSEWARE","HOUSEHOLD ITEMS","KITCHEN HOME","COOKWARE","KITCHEN_COOKWARE_KITS","1201","251608","0,196","2,228"
"CPG","FOODS","BREAKFAST & CEREALS","MILK","MILK","13061","250867","0,195","2,077"
"CPG","PET","PET BEAUTY & HYGIENE","SANITARY ACCESSORIES","DOG_POTTY_PADS","4005","250800","0,195","2,076"
"CONSTRUCTION & INDUSTRY","CONSTRUCTION","FAUCETS","SHOWER HEADS","SHOWER_HEADS","2403","248765","0,193","1,244"
"T & B","TOYS AND GAMES","BUILDING TOYS","BUILDING TOYS","TOY_BUILDING_SETS","1750","237504","0,185","6,37"
"FASHION","APPAREL","CLOTHING","DRESSES","DRESSES","7861","237246","0,184","1,873"
"CPG","CPG HOME CARE","BATTERIES","CELL BATTERIES","CELL_BATTERIES","4872","235929","0,183","1,953"
"FURNISHING & HOUSEWARE","TEXTILES","CURTAINS, BLINDS AND ACC","CURTAINS & BLINDS ACC","MANUAL_INDOOR_CURTAINS_AND_BLINDS","2777","235900","0,183","2,088"
"CONSTRUCTION & INDUSTRY","CONSTRUCTION","ELECTRICAL","SWITCHES AND PLUGS","ELECTRICAL_OUTLETS","5042","234375","0,182","1,172"
"TECHNOLOGY","IT PERIPHERALS, PARTS & ACCESSORIES","PERIPHERALS ACCESSORIES","CABLES & ACCESSORIES","DATA_CABLES_AND_ADAPTERS","8022","230484","0,179","0,786"
"CONSTRUCTION & INDUSTRY","CONSTRUCTION","ELECTRICAL","POWER SAVERS & STRIPS","POWER_STRIPS","4833","230294","0,179","1,151"
"TECHNOLOGY","CAMERAS & DRONES","CAMERAS & VIDEO CAMERAS","CAMERAS & VIDEO CAMERAS","VIDEO_CAMERAS","304","228259","0,177","0,778"
"VEHICLE PARTS & ACCESSORIES","ACC MOTORCYCLES","MOTORCYCLE HELMETS","MOTORCYCLE HELMETS","MOTORCYCLE_HELMETS","1086","225944","0,176","2,7"
"FURNISHING & HOUSEWARE","TEXTILES","BEDROOM TEXTILES","PILLOWS","PILLOWS","2351","224581","0,175","1,988"
"CONSTRUCTION & INDUSTRY","CONSTRUCTION","ELECTRICAL","CABLES & LAMP HOLDERS","ELECTRICAL_CABLES","1903","223946","0,174","1,119"
"SPORTS","MOUNTAIN & OUTDOORS","CAMPING","GEAR & EQUIPMENT","THERMOSES","3752","222834","0,173","6,256"
"CONSTRUCTION & INDUSTRY","LIGHTING","BULBS & LED STRIPS","BULBS & LED STRIPS","LED_STRIPS","5920","220324","0,171","1,101"
"CONSTRUCTION & INDUSTRY","TOOLS","POWER TOOLS","DRILLING AND SCREWDRIVING","ELECTRIC_DRILLS","1190","220005","0,171","1,1"
"TECHNOLOGY","IT PERIPHERALS, PARTS & ACCESSORIES","PC PERIPHERALS","MOUSE & KEYBOARD KITS","KEYBOARD_AND_MOUSE_KITS","2074","219366","0,171","0,748"
"FASHION","APPAREL","CLOTHING","SWEATERS AND CARDIGANS","BLOUSES","8117","215201","0,167","1,699"
"HOME ELECTRONICS","TELEVISIONS & STREAMING DEVICES","TELEVISIONS ACCESSORIES","TELEVISIONS ACCESSORIES","TV_AND_MONITOR_STANDS_AND_WALL_HANGERS","3991","214498","0,167","3,219"
"FURNISHING & HOUSEWARE","TEXTILES","CARPETS","CARPETS","DECORATIVE_CARPETS","2962","214325","0,167","1,897"
"CONSTRUCTION & INDUSTRY","INDUSTRY","PACKAGING","PACKAGING","POLY_MAILERS","3272","213428","0,166","1,067"
"CPG","CPG HOME CARE","CLEANING PRODUCTS & SUPPLIES","HOUSE CLEANING PRODUCTS","MULTIPURPOSE_CLEANERS_AND_DISINFECTANTS","9714","211464","0,164","1,75"
"CPG","CPG PERSONAL CARE","BABY DIAPERS","BABY DIAPERS","DISPOSABLE_BABY_DIAPERS","3088","211250","0,164","1,749"
"FASHION","APPAREL ACCESSORIES","SUNGLASSES","SUNGLASSES","SUNGLASSES","4356","211239","0,164","1,667"
"FURNISHING & HOUSEWARE","TEXTILES","BATHROOM TEXTILES","TOWELS & TOILET RUGS","BATH_TOWELS","2530","211177","0,164","1,87"
"CONSTRUCTION & INDUSTRY","CONSTRUCTION","BATHROOM & KITCHEN CONSTRUCTION","TOILET SEATS AND LIDS","TOILET_SEATS","2453","208699","0,162","1,043"
"HOME ELECTRONICS","TELEVISIONS & STREAMING DEVICES","STREAMING MEDIA DEVICES","STREAMING MEDIA DEVICES","STREAMING_MEDIA_DEVICES","1718","205636","0,16","3,086"
"TECHNOLOGY","IT PERIPHERALS, PARTS & ACCESSORIES","PERIPHERALS ACCESSORIES","PROJECTORS","PROJECTORS","1348","204970","0,159","0,699"
"FASHION","APPAREL ACCESSORIES","HATS","HATS","HATS_AND_CAPS","4087","200482","0,156","1,582"
"TECHNOLOGY","IT PERIPHERALS, PARTS & ACCESSORIES","STORAGE","MEMORY CARD","MEMORY_CARDS","2184","196396","0,153","0,67"
"HEALTH","HEALTH GOODS","MASSAGERS","PORTABLE MASSAGERS","PORTABLE_ELECTRIC_MASSAGERS","2052","195203","0,152","2,346"
"CONSTRUCTION & INDUSTRY","LIGHTING","EMERGENCY & FLOOD LIGHTS","EMERGENCY & FLOOD LIGHTS","FLOOD_LIGHTS","3943","194698","0,151","0,973"
"FASHION","APPAREL","CLOTHING","PANTS & OTHERS","SHORTS","7882","194015","0,151","1,531"
"TECHNOLOGY","IT PERIPHERALS, PARTS & ACCESSORIES","PERIPHERALS ACCESSORIES","PC ACCESSORIES","STABILIZERS_AND_UPS","531","191484","0,149","0,653"
"TECHNOLOGY","IT PERIPHERALS, PARTS & ACCESSORIES","PC PERIPHERALS","COMPUTER KEYBOARDS","PC_KEYBOARDS","1580","189050","0,147","0,645"
"HOME ELECTRONICS","HOUSEHOLD APPLIANCES PARTS","PARTS","HOME APPLIANCES ACCESSORIES & SPARE PARTS","HOME_APPLIANCES_ACCESSORIES_AND_REPLACEMENTS","3828","188276","0,146","2,826"
"FASHION","FOOTWEAR","SNEAKERS","SNEAKERS","LOAFERS_AND_OXFORDS","1802","187696","0,146","1,482"
"HOME ELECTRONICS","SMALL APPLIANCES","HOUSING & CLEANING","IRONS","IRONS","1452","187526","0,146","2,814"
"FASHION","APPAREL","CLOTHING","SPORTSWEAR","SPORT_SHORTS","5215","186794","0,145","1,474"
"T & B","TOYS AND GAMES","BOARD AND CARD GAMES","BOARD GAMES","BOARD_AND_CARD_GAMES","2581","185957","0,145","4,988"
"TECHNOLOGY","CAMERAS & DRONES","DRONES, PARTS & ACCESSORIES","DRONES","DRONES","589","182989","0,142","0,624"
"FASHION","APPAREL","CLOTHING","SPORTSWEAR","SPORT_T_SHIRTS","4668","182277","0,142","1,439"
"CPG","FOODS","CHOCOLATE & SWEETS","CANDIES","CANDIES","6797","180185","0,14","1,492"
"FASHION","APPAREL","CLOTHING","FOOTBALL SHIRTS","FOOTBALL_SHIRTS","2470","179175","0,139","1,414"
"HOME ELECTRONICS","HEATING, COOLING & AIR QUALITY","COOLING","FANS","FANS","1958","178957","0,139","2,686"
"FASHION","APPAREL ACCESSORIES","BAG & BACKPACK","HANDBAGS","HANDBAGS","2730","176544","0,137","1,394"
"BEAUTY","BEAUTY ELECTRONICS","BEAUTY ELECTRONICS","HAIR_BRUSHES","ELECTRIC_HAIR_BRUSHES","1817","176257","0,137","1,839"
"CONSTRUCTION & INDUSTRY","LIGHTING","TABLE & DESK LAMPS","TABLE & DESK LAMPS","TABLE_AND_DESK_LAMPS","3822","174860","0,136","0,874"
"HEALTH","HEALTH GOODS","HEALTH PROFESSIONAL","HEALTH PROFESSIONAL CONSUMABLES","DISPOSABLE_GLOVES","3747","173339","0,135","2,083"
"BEAUTY","BEAUTY PERSONAL CARE","PERSONAL CARE KITS","PERSONAL CARE KITS","SKIN_CARE_KITS","1840","168858","0,131","1,762"
"TECHNOLOGY","IT APPLIANCES","PRINTERS PARTS & ACCESSORIES","PRINTERS SUPPLIES","PRINTER_INKS","1672","168335","0,131","0,574"
"FURNISHING & HOUSEWARE","HOUSEHOLD ITEMS","ORGANIZATION","CLOTHING ORG","CLOTHES_HANGERS","3320","167017","0,13","1,479"
"FASHION","FOOTWEAR","SNEAKERS","FOOTBALL FOOTWEAR","FOOTBALL_SHOES","1580","166728","0,13","1,316"
"ENTERTAINMENT","BOOKS AND OTHERS","MUSIC AND MEDIA CONTENT","MUSIC AND MEDIA CONTENT","MUSIC_ALBUMS","1494","166548","0,129","6,796"
"FURNISHING & HOUSEWARE","HOUSEHOLD ITEMS","TABLETOP","DRINKWARE & ICE","MUGS","3565","165996","0,129","1,47"
"FASHION","APPAREL","BASICS","LINGERIE PANTIES","PANTIES","3819","164308","0,128","1,297"
"TECHNOLOGY","IT APPLIANCES","PRINTERS PARTS & ACCESSORIES","PRINTERS SUPPLIES","TONERS","1903","163651","0,127","0,558"
"HEALTH","HEALTH GOODS","HEALTH PROFESSIONAL","DENTAL SPECIALIZED EQUIPMENT","DENTAL_EQUIPMENT","1512","163020","0,127","1,959"
"HEALTH","HEALTH GOODS","HEALTH ELECTRONICS","CARDIOLOGY & DIABETES ELECTRONICS","BLOOD_GLUCOSE_METERS","2081","162219","0,126","1,95"
"CONSTRUCTION & INDUSTRY","TOOLS","OTHER TOOLS","OTHER TOOLS","TOOL_AND_CONSTRUCTION_SUPPLIES","1958","161448","0,126","0,807"
"FURNISHING & HOUSEWARE","HOUSEHOLD ITEMS","KITCHEN HOME","COOKWARE","FRYING_PANS_WOKS_GRIDDLES_AND_GRILL_PANS","1911","159668","0,124","1,414"
"CPG","CPG HOME CARE","CLEANING PRODUCTS & SUPPLIES","KITCHEN & CLEANING SUPPLIES","CLEANING_CLOTHS","4691","159485","0,124","1,32"
"T & B","PARTY","PARTY COSTUMES & ACCESSORIES","COSTUMES","COSTUMES","2297","156674","0,122","4,202"
"CPG","CPG HOME CARE","CLEANING PRODUCTS & SUPPLIES","HOUSE CLEANING PRODUCTS","DISHWASHING_DETERGENTS","5319","156508","0,122","1,296"
"TECHNOLOGY","IT PERIPHERALS, PARTS & ACCESSORIES","PARTS COMPONENTS","PC COMPONENTS","NETWORK_SWITCHES","681","155883","0,121","0,532"
"HEALTH","HEALTH GOODS","HEALTH ELECTRONICS","WELL BEING ELECTRONICS","ELECTRIC_OIL_DIFFUSERS_HUMIDIFIERS_AND_VAPORIZERS","1741","155078","0,121","1,864"
"HOME ELECTRONICS","SMALL APPLIANCES","KITCHEN","ELECTRIC POTS SKILLETS & RICE COOKERS","ELECTRIC_POTS_SKILLETS_AND_RICE_COOKERS","816","153680","0,119","2,306"
"TECHNOLOGY","IT PERIPHERALS, PARTS & ACCESSORIES","DESKTOP PC PARTS","MOTHERBOARDS","COMPUTER_MOTHERBOARDS","593","153006","0,119","0,522"
"T & B","TOYS AND GAMES","TOY VEHICLES","NON REMOTE CONTROL VEHICLES","DIECAST_VEHICLES","1586","152933","0,119","4,102"
"CONSTRUCTION & INDUSTRY","TOOLS","MANUAL TOOLS","MANUAL TOOLS FIXING","WRENCHES","3071","152026","0,118","0,76"
"CPG","PET","PET ACCESSORIES","OTHER ACCESSORIES","ANIMAL_AND_PET_PRODUCTS","2558","151733","0,118","1,256"
"HOME ELECTRONICS","AUDIO & GENERAL ELECTRONICS","MULTIMEDIA","SMART SPEAKERS","SMART_SPEAKERS","376","148988","0,116","2,236"
"TECHNOLOGY","IT PERIPHERALS, PARTS & ACCESSORIES","PARTS COMPONENTS","PC COMPONENTS","NETWORK_CABLES","1832","148763","0,116","0,507"
"CPG","CPG HOME CARE","LAUNDRY PRODUCTS","LAUNDRY PRODUCTS","FABRIC_SOFTENERS","4206","148010","0,115","1,225"
"FURNISHING & HOUSEWARE","HOUSEHOLD ITEMS","TABLETOP","FLATWARE","FLATWARE_KITS","2137","147684","0,115","1,307"
"CONSTRUCTION & INDUSTRY","SECURITY","NOT DIGITAL LOCKS","NOT DIGITAL LOCKS","DOOR_AND_WINDOW_LOCKS","2821","147574","0,115","0,738"
"CONSTRUCTION & INDUSTRY","STATIONERY","OFFICE & SCHOOL SUPPLIES","GLUES & TAPES","GLUES_AND_ADHESIVES","3455","146341","0,114","0,732"
"VEHICLE PARTS & ACCESSORIES","ACC TOOLS","PARTICULAR TOOLS","CHARGERS AND JUMP STARTERS","VEHICLE_BATTERY_CHARGERS","1247","146136","0,114","1,746"
"CPG","CPG HOME CARE","TOILET PAPERS & NAPKINS","TOILET PAPERS & NAPKINS","TOILET_PAPERS","4939","145947","0,113","1,208"
"CPG","FOODS","GROCERIES","OILS","COOKING_OILS","4107","145336","0,113","1,203"
"CPG","DRINKS","ALCOHOLICS","LIQUORS & SPIRITS","WHISKEYS","1079","145317","0,113","1,203"
"FURNISHING & HOUSEWARE","HOUSEHOLD ITEMS","KITCHEN HOME","WATER DISPENSERS AND FILTERS","WATER_PURIFIERS_AND_FILTERS","1059","145179","0,113","1,285"
"TECHNOLOGY","IT APPLIANCES","PRINTERS PARTS & ACCESSORIES","PRINTERS SUPPLIES","INK_CARTRIDGES","1045","145042","0,113","0,495"
"TECHNOLOGY","IT PERIPHERALS, PARTS & ACCESSORIES","PC PERIPHERALS","WEBCAMS","WEBCAMS","824","144586","0,112","0,493"
"FASHION","APPAREL","CLOTHING","SPORTSWEAR","LEGGINGS","4499","144075","0,112","1,137"
"CONSTRUCTION & INDUSTRY","INDUSTRY","COMMERCE EQUIPMENT","COMMERCE EQUIPMENT","BAR_CODE_SCANNERS","676","143072","0,111","0,715"
"CONSTRUCTION & INDUSTRY","CONSTRUCTION","ELECTRICAL","SWITCHES AND PLUGS","DIMMERS","1684","141628","0,11","0,708"
"CONSTRUCTION & INDUSTRY","TOOLS","TOOL ACCESSORIES","OTHER TOOLS ACC","TOOL_ACCESSORIES_AND_REPLACEMENTS","2373","141062","0,11","0,705"
"T & B","TOYS AND GAMES","DOLLS","DOLLS","DOLLS","1215","140443","0,109","3,767"
"CPG","DRINKS","ALCOHOLICS","WINES & SPARKLING WINES","SPARKLING_WINES","3173","139832","0,109","1,157"
"CONSTRUCTION & INDUSTRY","SECURITY","ALARMS & SENSORS","ALARMS & SENSORS","HOME_ALARMS_AND_SENSORS","1848","139570","0,109","0,698"
"CPG","CPG PERSONAL CARE","PERSONAL CARE ESSENTIALS","SOAP","LIQUID_HAND_AND_BODY_SOAPS","4345","139414","0,108","1,154"
"CPG","PET","PET ACCESSORIES","FEEDERS","CAT_AND_DOG_DRINKERS_AND_FEEDERS","2175","138957","0,108","1,15"
"TECHNOLOGY","COMPUTERS & NOTEBOOKS","DESKTOPS","COMPUTERS","DESKTOP_COMPUTER_KITS","180","137264","0,107","0,468"
"TECHNOLOGY","SMARTPHONES & TABLETS","SMARTPHONES PARTS & ACCESSORIES","SMARTPHONES SCREENS","CELLPHONE_SCREENS","6180","137156","0,107","0,468"
"FURNISHING & HOUSEWARE","TEXTILES","BEDROOM TEXTILES","MATTRESSES & SOMMIER COVERS","MATTRESS_COVERS","2540","136769","0,106","1,211"
"CPG","CPG PERSONAL CARE","PERSONAL CARE ESSENTIALS","DEODORANTS","DEODORANTS","4356","136330","0,106","1,128"
"FURNISHING & HOUSEWARE","TEXTILES","BEDROOM TEXTILES","SHEETS & PILLOW COVERS","CUSHION_AND_PILLOW_COVERS","3204","135268","0,105","1,198"
"FASHION","APPAREL","CLOTHING","SWEATERS AND CARDIGANS","SWEATSHIRTS_AND_HOODIES","2286","134590","0,105","1,062"
"HEALTH","HEALTH GOODS","OFTALMOLOGY","LENSES","NON_CORRECTIVE_CONTACT_LENSES","788","134565","0,105","1,617"
