"vertical","agg1","agg2","agg3","dominio","unidades","nmv_brl","pct_del_nmv_zona","pct_del_nmv_vertical"
"VEHICLE PARTS & ACCESSORIES","ACC TIRES","OTHER ACC TIRES","OTHER ACC TIRES","VEHICLE_TIRE_VALVE_CAPS","89","2486","0,002","0,03"
"VEHICLE PARTS & ACCESSORIES","ACC TOOLS","TIRES AND WHEELS SERVICE TOOLS","TIRE CHANGERS","ELECTRIC_TIRE_CHANGERS","25","2483","0,002","0,03"
"SPORTS","OTHER SPORTS","BASEBALL","BASEBALL","BASEBALL_AND_SOFTBALL_BATS","40","2479","0,002","0,07"
"CONSTRUCTION & INDUSTRY","STATIONERY","OFFICE & SCHOOL SUPPLIES","OTHER OFFICE & SCHOOL SUPPLIES","RUBBER_STAMP_INK_REFILLS","80","2479","0,002","0,012"
"T & B","TOYS AND GAMES","LIFELIKE TOYS","SUPERMARKET TOYS","TOY_CASH_REGISTERS","36","2476","0,002","0,066"
"FASHION","APPAREL ACCESSORIES","OTHER APPAREL ACCESSORIES","OTHER APPAREL ACCESSORIES","LEG_WARMERS","78","2476","0,002","0,02"
"CONSTRUCTION & INDUSTRY","INDUSTRY","INDUSTRY GENERAL EQUIPMENT","INDUSTRY GENERAL EQUIPMENT","CO2_LASER_TUBES","11","2471","0,002","0,012"
"VEHICLE PARTS & ACCESSORIES","ACC CARS & VANS","CARS & VANS REPLACEMENT PARTS","CARS & VANS ENGINE","VEHICLE_FUSE_BOX_COVERS","41","2469","0,002","0,029"
"HOME ELECTRONICS","AUDIO & GENERAL ELECTRONICS","PHYSICAL MEDIAS & HARDWARE FOR AUDIO & VIDEO","PHYSICAL MEDIAS & HARDWARE FOR AUDIO & VIDEO","VIDEO_PLAYER_REMOTE_CONTROLS","96","2466","0,002","0,037"
"BEAUTY","BEAUTY PROFESSIONAL","MANICURE & PEDICURE","MANICURE ACCESSORIES & EQUIPMENTS","INGROWN_NAIL_FIXERS","74","2465","0,002","0,026"
"CPG","PET","PET BEAUTY & HYGIENE","SANITARY ACCESSORIES","DOG_POTTY_TRAYS","40","2465","0,002","0,02"
"T & B","BABY","STROLLERS & CAR SEATS","STROLLERS & CAR SEATS ACCEESSORIES","BABY_STROLLER_AND_CAR_SEAT_LINERS","49","2465","0,002","0,066"
"VEHICLE PARTS & ACCESSORIES","ACC MOTORCYCLES","MOTORCYCLE REPLACEMENT PARTS","MOTORCYCLE TRANSMISSION","MOTORCYCLE_CLUTCH_BELLS","15","2452","0,002","0,029"
"TECHNOLOGY","IT PERIPHERALS, PARTS & ACCESSORIES","PERIPHERALS ACCESSORIES","PC ACCESSORIES","COMPUTER_KEYBOARD_COVERS","94","2451","0,002","0,008"
"SPORTS","INDOOR SPORTS","GYM","GYM ACCESORIES","SUSPENSION_TRAINERS","40","2450","0,002","0,069"
"HOME ELECTRONICS","SMALL APPLIANCES","KITCHEN","MEAL & DRINK MAKERS","CUPCAKES_MAKERS","50","2449","0,002","0,037"
"T & B","TOYS AND GAMES","OUTDOOR TOYS","OTHER OUTDOOR TOYS","YO_YOS","58","2448","0,002","0,066"
"T & B","TOYS AND GAMES","OUTDOOR TOYS","PLAYGROUND TOYS","PLAYGROUND_SWINGS","27","2447","0,002","0,066"
"T & B","PARTY","PARTY EQUIPMENT","PARTY MACHINES","MIRROR_BALLS","37","2447","0,002","0,066"
"BEAUTY","BEAUTY PERSONAL CARE","BODY CARE","BODY CARE","BATH_SALTS","67","2446","0,002","0,026"
"TECHNOLOGY","SMARTPHONES & TABLETS","ACCESSORIES & PARTS FOR COMMUNICATION","TELEPHONES PARTS","CORDLESS_TELEPHONE_BATTERIES","80","2445","0,002","0,008"
"VEHICLE PARTS & ACCESSORIES","ACC CARS & VANS","CARS & VANS REPLACEMENT PARTS","CARS & VANS OTHERS","VEHICLE_EXHAUST_MANIFOLDS","12","2445","0,002","0,029"
"VEHICLE PARTS & ACCESSORIES","ACC CARS & VANS","CARS & VANS REPLACEMENT PARTS","CARS & VANS OTHERS","VEHICLE_CLUTCH_FORKS","33","2442","0,002","0,029"
"CPG","PET","PET HOUSES, TOYS & FASHION","PET HOUSES","RABBIT_AND_RODENT_HOUSES","45","2441","0,002","0,02"
"CPG","FOODS","GROCERIES","BAKERY","BAKING_POWDERS","100","2433","0,002","0,02"
"HOME ELECTRONICS","AUDIO & GENERAL ELECTRONICS","AUDIO","AUDIO DEVICES","WALKMANS","7","2431","0,002","0,036"
"SPORTS","CYCLING AND OTHERS","BICYCLES ACCESORIES AND SPARE PARTS","BICYCLES ACCESORIES AND SPARE PARTS","BICYCLE_SEAT_COVERS","94","2424","0,002","0,068"
"SPORTS","CYCLING AND OTHERS","BICYCLES ACCESORIES AND SPARE PARTS","BICYCLES ACCESORIES AND SPARE PARTS","BICYCLE_BUGLE_HORNS","53","2423","0,002","0,068"
"CONSTRUCTION & INDUSTRY","HOME OUTDOORS","LANDSCAPING & GARDEN CENTER","INDOOR GROWTH","INDOOR_GROWING_TENTS","21","2421","0,002","0,012"
"HEALTH","HEALTH GOODS","MASSAGERS","OTHER MASSAGERS","FOOT_BATH_MASSAGERS","20","2419","0,002","0,029"
"VEHICLE PARTS & ACCESSORIES","ACC CARS & VANS","CARS & VANS REPLACEMENT PARTS","CARS & VANS OTHERS","VEHICLE_NERF_BARS","28","2418","0,002","0,029"
"SPORTS","OTHER MAINSTREAM SPORTS","TENNIS","TENNIS","TENNIS_AND_PADDLE_NETS","17","2417","0,002","0,068"
"CONSTRUCTION & INDUSTRY","TOOLS","MANUAL TOOLS","CUTTING AND ROUGHING","MANUAL_EDGE_BANDING_TRIMMERS","61","2416","0,002","0,012"
"HOME ELECTRONICS","HOUSEHOLD APPLIANCES PARTS","HEATING & COOLING PARTS","AIR CONDITIONER PARTS","AIR_CONDITIONER_CLEANING_COVERS","19","2408","0,002","0,036"
"SPORTS","MOUNTAIN & OUTDOORS","CLIMBING","CLIMBING","CLIMBING_HARNESSES","10","2403","0,002","0,067"
